idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label,sweep_source
67,0.0835357993381616,0.0747022513981681,0.5302090650219442,0.1473453380272024,0.1044902939880238,0.0597172522264998,27.171514822708872,36.88960372159247,4.032189061329923,4.032189061329923,True,54.9909419364379,7.189587781685061,0.0665682407467214,0.0005050338133625,-0.0001066186610059,-0.0047561102439124,-1,,0,biogas_training_data.csv
68,0.1992670057269598,0.1687563558000586,0.0756365903292579,0.0279189283719391,0.0704557588889593,0.4579653608828249,30.624675676780164,36.37690538767608,3.138383579720479,3.138383579720479,True,43.55959443155495,7.327989521934125,0.1751250207730476,0.0017615820797773,0.0014089820640073,-0.0024642639590699,-1,,0,biogas_training_data.csv
69,0.4296493741023839,0.0575897481015567,0.1014275599732417,0.2251133365726597,0.0411947860831001,0.1450251951670577,39.53989228573765,40.74589967670628,2.730752063443968,2.730752063443968,True,43.31229973455855,7.428686893776245,0.0970446139194477,0.0034503209767695,0.0012582378512582,-0.0017304798524073,-1,,0,biogas_training_data.csv
70,0.1574396345831691,0.1723131443143949,0.3746253757106484,0.1459193813066202,0.1383265682268029,0.0113758958583641,27.154818919117933,46.64047380550432,3.094210062383971,3.094210062383971,True,45.32909700869162,7.230372420404628,0.0567009982054411,0.0005320557762164,2.248769552792245e-05,-0.0037753028123244,-1,,0,biogas_training_data.csv
71,0.5084825040910895,0.2673755165048898,0.0587727274245662,0.0315534013110699,0.0070204962840125,0.126795354384372,36.09704938782967,24.83689135449755,4.527374493140117,4.527374493140117,True,49.76330267176108,7.276180845434513,0.0766998757477101,0.0015820564270581,7.128456187271288e-05,-0.0040198781986608,-1,,0,biogas_training_data.csv
72,0.2638189118001525,0.0995316603346279,0.2182404266220372,0.0780378932769368,0.2569890244134855,0.08338208355276,41.59579486264826,42.33005888257208,3.0324701957020466,3.0324701957020466,True,45.213528200553085,7.399463612984441,0.0532577352858992,0.0027591016909735,0.0004902686525884,-0.0027021713301175,-1,,0,biogas_training_data.csv
73,0.3289748495870662,0.2807345938208685,0.1541248695678168,0.0442935174485613,0.0328268073157801,0.1590453622599068,31.342777856454305,48.1159758027898,2.552249597601525,2.552249597601525,True,36.28598229007881,7.305594671407219,0.0650969346317991,0.0012349141454784,0.0003332697569354,-0.0028232352177243,-1,,0,biogas_training_data.csv
74,0.0568382435581389,0.6430886428457125,0.0572610800881876,0.0862562146227255,0.1043441840250037,0.0522116348602317,30.81835676280237,30.602285169268583,5.108971564837079,5.108971564837079,True,61.85439285192256,7.144198691211913,0.0564702510348278,0.0004670391084531,-1.5975697487413118e-05,-0.0065650591622938,-1,,0,biogas_training_data.csv
75,0.0649178565736181,0.1562358316698449,0.0988455459438259,0.4463891669427055,0.1548009927900676,0.0788106060799378,30.119301811352056,47.44174280195853,2.8708776791789394,2.8708776791789394,True,53.22926455695573,7.363538361776611,0.1254614713359413,0.0015042750634517,0.0014807096167927,-0.0014544774486282,-1,,0,biogas_training_data.csv
76,0.2784217452532809,0.1136556964712921,0.1648923491052005,0.2344780794540538,0.0158825620858978,0.1926695676302747,33.70194120006076,49.69502256223348,2.398874692166245,2.398874692166245,True,40.220176654196415,7.383925497663997,0.1029233397965763,0.0021289315647091,0.0012615695875347,-0.0016388796759613,-1,,0,biogas_training_data.csv
77,0.3560316623300006,0.0088996163350574,0.3965101152475333,0.1419204278203463,0.0005525272291216,0.0960856510379405,42.83354532509828,39.94432077827797,3.056999493597548,3.056999493597548,True,45.56688897238272,7.410699876365811,0.0593779274451059,0.0033651160451676,0.0005078140891983,-0.0025534456733588,-1,,0,biogas_training_data.csv
78,0.123711580292579,0.0658554566858905,0.5687745881425067,0.100177597927762,0.1160214940096965,0.0254592829415652,42.815849817570495,45.73786558791453,3.260132832832824,3.260132832832824,True,49.66297194601178,7.370733230672847,0.0373382721717921,0.001994640489094,0.0002653273263857,-0.0035434882289081,-1,,0,biogas_training_data.csv
79,0.1550032002746194,0.0335353499828006,0.2483960232910549,0.0390596940010159,0.3315559092115711,0.1924498232389378,35.37716720772898,22.63716207323172,5.741603235486064,5.741603235486064,True,66.77579204968008,7.246086538584638,0.085150343353509,0.0014177911403184,-6.233023895225803e-05,-0.0045185395706532,-1,,0,biogas_training_data.csv
80,0.0348948324857023,1.0096057608457445e-05,0.1250431743870728,0.797795263908192,0.0307056267605547,0.0115510064008696,40.44024864221976,36.466450526710446,3.672913772081975,3.672913772081975,True,77.64768013535779,7.495495133781102,0.2486712929775696,0.0050284696894264,0.0080274431997335,-0.0005319594171231,-1,,0,biogas_training_data.csv
81,0.1593601044055267,0.3204206225911946,0.2114877118737778,0.0273875442980313,0.1324510800576392,0.1488929367738302,39.93579222698053,20.498420636914588,6.700532939214271,6.700532939214271,True,72.063760439256,7.212600747535066,0.0605073085812499,0.0014760181575817,-4.849646872113528e-05,-0.0057274622546495,-1,,0,biogas_training_data.csv
